LocationID,taxiName,mapName,Borough,xID,longitude,latitude
213,Soundview/Castle Hill,Castle Hill,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Castle_Hill,-73.85073,40.81768
214,South Beach/Dongan Hills,Dongan Hills,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/Dongan_Hills,-74.06681,40.59038
215,South Jamaica,Springfield Gardens,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Springfield_Gardens,-73.79191,40.68086
216,South Ozone Park,Springfield Gardens,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Springfield_Gardens,-73.8125,40.6764
217,South Williamsburg,Williamsburg,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Williamsburg,-73.95656,40.70439
218,Springfield Gardens North,Springfield Gardens,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Springfield_Gardens,-73.7798,40.67159
219,Springfield Gardens South,Springfield Gardens,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Springfield_Gardens,-73.7798,40.67159
220,Spuyten Duyvil/Kingsbridge,Kingsbridge,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Kingsbridge,-73.91541,40.88116
221,Stapleton,Clifton,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/Clifton,-104.89077,39.7603
222,Starrett City,Bergen Beach,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bergen_Beach,-73.8802,40.649
223,Steinway,Ditmars Steinway,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Ditmars_Steinway,-73.8997,40.78004
224,Stuy Town/Peter Cooper Village,Stuyvesant Town,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Stuyvesant_Town,-73.97785,40.73169
225,Stuyvesant Heights,Bedford-Stuyvesant,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bedford_Stuyvesant,-73.93199,40.68242
226,Sunnyside,Long Island City,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Long_Island_City,-94.78775,38.83784
227,Sunset Park East,Sunset Park,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Sunset_Park,-74.00933,40.65272
228,Sunset Park West,Sunset Park,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Sunset_Park,-74.00933,40.65272
229,Sutton Place/Turtle Bay North,Midtown,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Midtown,-73.96022,40.75801
230,Times Sq/Theatre District,Hell's Kitchen,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Hell_s_Kitchen,-73.98372,40.76049
231,TriBeCa/Civic Center,Civic Center,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Civic_Center,-74.01224,40.71745
232,Two Bridges/Seward Park,Two Bridges,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Two_Bridges,-73.98925,40.71491
233,UN/Turtle Bay South,Midtown,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Midtown,-73.96801,40.74888
234,Union Sq,NoHo,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/NoHo,-73.99108,40.73586
235,University Heights/Morris Heights,Morris Heights,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Morris_Heights,-73.91209,40.85146
236,Upper East Side North,Upper East Side,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Upper_East_Side,-73.95656,40.77356
237,Upper East Side South,Upper East Side,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Upper_East_Side,-73.95656,40.77356
238,Upper West Side North,Upper West Side,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Upper_West_Side,-73.97537,40.78701
239,Upper West Side South,Upper West Side,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Upper_West_Side,-73.97537,40.78701
240,Van Cortlandt Park,Fieldston,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Fieldston,-73.88528,40.89642
241,Van Cortlandt Village,Fieldston,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Fieldston,-73.89314,40.88372
